Tamanho,Bubble Sort,Insertion Sort,Heap Sort,Merge Sort,Quick Sort,Radix Sort
316,3966,1590,7381,4880,4357,2064
317,3942,1734,7399,4900,4346,2112
318,4175,1820,7426,4919,4249,2140
319,4181,1832,7461,4934,4342,2104
320,4011,1770,7476,4958,4335,2090
321,4037,1696,7512,4974,4443,2118
322,4046,1692,7540,4991,4424,2082
323,4131,1778,7577,5010,4463,2110
324,3921,1704,7618,5029,4494,2202
325,4274,1810,7630,5051,4534,2122
326,4293,1804,7641,5064,4433,2108
327,4200,1946,7670,5083,4622,2114
328,4356,1846,7715,5104,4523,2120
329,4428,1858,7739,5122,4507,2148
330,4210,1752,7776,5143,4523,2178
331,4214,1916,7789,5163,4527,2184
332,4346,1784,7821,5179,4600,2256
333,4610,1916,7856,5195,4528,2086
334,4568,1922,7874,5215,4581,2248
335,4241,1936,7906,5232,4674,2232
336,4481,1882,7917,5256,4642,2172
337,4319,1784,7963,5269,4638,2224
338,4449,1910,7992,5290,4659,2230
339,4326,1916,8033,5307,4606,2168
340,4288,2000,8053,5323,4844,2266
341,4294,1856,8084,5344,4649,2182
342,4535,1954,8094,5365,4857,2302
343,4468,1938,8130,5382,4773,2332
344,4627,1982,8157,5406,4853,2200
345,4846,2146,8183,5417,4779,2392
346,4737,1930,8230,5439,4852,2328
347,4924,2028,8251,5462,4978,2266
348,5073,2164,8283,5479,4984,2226
349,4931,1926,8293,5492,4847,2302
350,4970,2052,8315,5511,4879,2286
351,4860,2090,8361,5532,4961,2246
352,4923,1960,8396,5551,4947,2228
353,4963,2088,8408,5569,4977,2376
354,4709,1982,8448,5585,5003,2336
355,5044,2088,8478,5605,5006,2342
356,4900,2132,8492,5626,4960,2324
357,4987,2164,8516,5644,5156,2308
358,5150,2112,8560,5662,5102,2482
359,5098,2176,8581,5679,5051,2344
360,4994,2090,8610,5698,5006,2328
361,4955,2230,8637,5720,5110,2382
362,5405,2242,8667,5737,5056,2340
363,4904,2206,8684,5748,4957,2322
364,5224,2268,8726,5774,5157,2402
365,5464,2216,8750,5792,5147,2360
366,5410,2156,8766,5817,5170,2414
367,5502,2318,8809,5828,5244,2396
368,5248,2324,8840,5849,5176,2378
369,5390,2536,8862,5870,5138,2410
370,5439,2220,8888,5883,5184,2516
371,5353,2392,8929,5901,5259,2472
372,5567,2378,8958,5923,5221,2454
373,5466,2326,8962,5943,5229,2412
374,5604,2354,9003,5960,5321,2492
375,5477,2402,9038,5978,5352,2424
376,5641,2358,9071,5997,5338,2530
377,5661,2474,9082,6017,5288,2512
378,5514,2282,9112,6037,5304,2520
379,5472,2324,9141,6056,5365,2602
380,5609,2298,9182,6074,5226,2508
381,5409,2306,9192,6093,5354,2488
382,5586,2410,9229,6108,5356,2596
383,5621,2430,9250,6128,5507,2502
384,5459,2364,9286,6152,5412,2456
385,5774,2486,9319,6167,5430,2464
386,6104,2454,9330,6183,5508,2520
387,5881,2524,9363,6203,5526,2580
388,5956,2572,9409,6221,5460,2508
389,5965,2462,9437,6241,5503,2540
390,5985,2582,9465,6258,5503,2548
391,5798,2574,9483,6283,5612,2606
392,6145,2618,9519,6297,5559,2534
393,5330,2428,9537,6313,5591,2672
394,6461,2704,9590,6336,5700,2600
395,6189,2556,9610,6355,5731,2606
396,6290,2784,9640,6374,5603,2640
397,6001,2710,9655,6392,5717,2592
398,6459,2702,9701,6410,5636,2732
399,6403,2722,9708,6430,5658,2712
400,6411,2660,9748,6449,5760,2720
401,6132,2718,9778,6470,5831,2512
402,6402,2780,9811,6486,5800,2680
403,6744,2848,9826,6506,6022,2740
404,6406,2656,9864,6523,5829,2692
405,6278,2724,9893,6545,5923,2726
406,6499,2684,9925,6566,5814,2624
407,6540,2606,9968,6582,5812,2630
408,6554,2716,9975,6598,5918,2664
409,6715,2794,10005,6619,5749,2726
